descriptionofmapunits_id,mapunit,label,name,fullname,age,description,hierarchykey,paragraphstyle,areafillrgb,areafillpatterndescription,descriptionsourceid,generallithologyterm,generallithologyconfidence
HPV.DescriptionOfMapUnits.11,Yg,Yg,Equigranular biotite granite to granodiorite (Mesoproterozoic),,Mesoproterozoic,"Fine to medium grained biotite granite with up to ~15% mafic minerals which consist mostly of fine biotite.  Sparse white feldspar are up to 10 mm diameter.  Foliation is variably developed and is interpreted to be recrystallized mylonitic fabric, but original mylonitic character is obscure.    This unit is considered to be an equigranular facies of ""Porphyritic biotite granite to granodiorite"" of map unit Ygp, and was mapped as Continental Granodiorite by Drewes (1974).  It is differentiated from phophyritic variety because it does not contain large K-feldspar megacrysts like most of that unit, but rather is weakly porphyritic to equigranular. This unit is exposed near the southeastern corner of the map area.",0006.0010.0002,Standard,"186;11;123",,HPV.DataSources.10,,
HPV.DescriptionOfMapUnits.12,Ygu,Ygu,Undivided granitoid tectonites (Mesoproterozoic)),,Mesoproterozoic,"Generally fine-grained, recrystallized, foliated, leucocratic granitic rocks containing up to 7% very-fine-grained biotite (locally altered to chlorite) and 0-10% very-fine-grained muscovite.  Contacts between biotite-bearing and muscovite-bearing phases range from abrupt to gradational, but intrusive relationships, if any, are obscured by foliation.  The contact between this unit and muscovite leucogranite unit Ygl is apparently gradational; muscovite leucogranite components of this unit are indistinguishable from map unit Ygl.  The biotite-bearing components bear a mineralogical resemblance to granodiorite of unit Ygg, but correlation is only speculative.  Recrystallized mylonitic to ultramylonitic foliation is common near contacts with non-granitic rocks.  Near contacts with with meladiorite of unit TJm, recrystallized mylonite derived from granitoid and meladiorite is locally interfoliated on few-mm to 20-cm scale.  Screens of Pinal schist are also locally interfoliated with the granitoid rocks.",0006.0010.0005,Standard,"186;130;123",,HPV.DataSources.11,,
HPV.DescriptionOfMapUnits.13,QTbx,QTbx,Landslide breccia,,,Landslide breccia and rubble derived from megacrystic biotite granite.  Angular clasts are up to 5m diameter.,0001.0003,Standard,"255;240;079",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.14,Ygp,Ygp,Porphyritic biotite granite to granodiorite (Mesoproterozoic),Oracle Granite,Mesoproterozoic,"Commonly foliated granite with K-feldspar augen up to 4 cm long and up to ~15% mafic minerals which consist mostly of fine biotite. Deformation and recrystallization obscure orignal grain size, which was probably medium to coarse grained. Foliation is variably developed and is interpreted to be recrystallized mylonitic fabric, but original mylonitic character is obscure. Northwest of Happy Valley this unit is extensively intruded by dikes and sills of heterogeneous pegmatitic granite and locally appears as the melanosome in banded gneiss. A sample of this unit was dated at 1449 +/- 11 Ma (one-sigma; U-Pb isotopic analysis by M. Pecha and G. Gehrels, University of Arizona; sample 2-5-10-3 collected by J. Spencer). This unit resembles Oracle Granite in the southern Santa Catalina Mountains where it similarly forms screens between sills and dikes of heterogeneous pegmatitic leucogranite. ",0006.0010.0001,Standard,"178;23;102",,HPV.DataSources.11,,
HPV.DescriptionOfMapUnits.15,K_s,K_s,Fine-grained clastic rocks (Cretaceous to Cambrian),,,"Fine grained clastic rocks, thin to very thin bedded, medium gray color, very low metamorphic grade with weak cleavage. Poorly exposed, mostly float with sparse outcrop visible through colluvium. Lithology is compatible with various parts of the Bisbee group, the Abrigo Formation, or Mesozoic clastic rocks below the thrust fault at Lookout Mountain (83 km to the north-northeast). Low carbonate content is suggestive of Mesozoic strata. Eastern end of outcrop area is exposure of quartzite that strongly resembles Bolsa Quartzite, but could be quartzose sandstone of the Turney Ranch Formation of the Bisbee Group. ",0005.0001,Standard,"086;229;149",,2B6E668D-1DD7-4AB3-8B7D-A63CE52DC2A1,,
HPV.DescriptionOfMapUnits.16,Dm,Dm,Martin Formation (Devonian),,,"Light-brown to tan, silty to sandy, thin- to medium-bedded dolostone and limestone; fine- to medium-grained, calcareous, quartzose sandstone; calcareous siltstone; and locally thick beds of massive gray limestone.  Sand grains are fine- to medium-grained, well rounded, and almost all quartz.  In general, the lower Martin Formation consists of thin bedded to laminated, very fine grained, quartzose sandstone and medium-gray to light-brownish-gray bioclastic limestone.  The limestone is commonly mottled as if bioturbated, and limestone locally grades abruptly along strike to tan- or orange-brown-weathered dolostone.  Overlying middle Martin Formation (~30-50 m thick) consists of thin- to medium- bedded (10-100 cm), very-fine- to medium-grained quartzose sandstone, siltstone, calcareous siltstone, and silty tan carbonate.  Upper Martin Formation is similar, with very-fine-grained quartzose sandstone forming the top of the formation.  Sandstone and sandy carbonate units are locally cross-bedded (including herringbone cross-bedding), and some contain glauconite.",0005.0010,Standard,"102;135;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.17,*h,*h,Horquilla Limestone (Pennsylvanian),,,"Medium to pale gray to tannish gray to olive-brown carbonate, medium to thick bedded (beds 5-300 cm), with parting on bedding planes.  Tannish gray carbonate appears slightly silty in hand lens view.  Limestone is commonly cherty, and locally silty, with thin beds and lamination of pale red and reddish tan silty carbonate.  Carbonate locally contains solitary coral.  Forms ledges with intervening covered slopes.",0005.0007,Standard,"105;204;240",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.18,Qyc,Qyc,Modern stream channel deposits,,,"Unconsolidated, poorly to moderately sorted sandy to cobbly deposits in active stream channels. Channels may exhibit bar and swale microtopography with bars composed of coarser sediments. Qyc deposits are typically unvegetated and exhibit no soil development although small shrubs and grasses can be found on slightly elevated bars. Qyc deposits commonly become submerged during moderate to extreme flow conditions and can be subject to deep, high velocity flow and lateral bank erosion. Channels are generally incised 1 to 2 m below adjacent Holocene alluvium and may be incised into adjacent Pleistocene alluvium by 10 m or more. ",0002.0001,Standard,"255;255;000",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.19,Pc,Pc,Colina Limestone (Permian),,,"Medium to dark gray, thick-bedded, slightly cherty limestone.  Some beds contain small white blebs of dolomite.",0005.0005,Standard,"033;196;255",,6D2D8A77-1D22-4EFD-9DC0-7338A1086A4A,,
HPV.DescriptionOfMapUnits.29,Tgb,Tgb,Barney Ranch quartz monzonite (upper Oligocene to Eocene),,,"Leucocratic biotite quartz monzonite of Lingrey (1982)  forms an ~1km2 stock in the central part of the map area, east of Barney Ranch.  Biotite content is ~5%; garnet and muscovite were not observed by Lingrey (1982); texture is medium grained, hypidiomorphic-granular with sparse feldspar phenocrysts.",0006.0002,Standard,"178;016;011",,2CBFD7DF-852A-458B-AEE6-3CCFF1A4EBC8,,
HPV.DescriptionOfMapUnits.20,_Yqt,_Yqt,"Tectonite derived from Bolsa Quartzite and Dripping Spring Quartzite, undivided (Cambrian and Mesoproterozoic protoliths)",,,"White, light to medium gray, or pale reddish gray quartzite, commonly with transposed thin beds and laminations.  The unit locally contains conglomerate beds and pelitic schist.  Several conglomerate beds, 0.5 to 3 m thick, contain quartzite clasts that are flattened parallel to compositional layering and that rarely exceed 15 cm in longest direction.  Locally includes fine-grained micaceous quartzite, some of which could have been derived from the Mesoproterozoic Pioneer Shale of the Apache Group.  Where this quartzite is derived from Dripping Spring Quartzite, it locally contains lenses and stringers derived from Mesoproterozoic Sierra Ancha diabase.  South of Driscoll Mountain, fine-grained quartzite interfoliated with marble tectonites may have been derived from Permian Scherrer Formation.",0008.0006,Standard,"209;084;000",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.21,YXgjm,YXgjm,Mixed border phase of Johnny Lyon granodiorite (Mesoproterozoic to Paleoproterozoic),Mixed border phase,Mesoproterozoic to Paleoproterozoic,"The southeast corner of the Happy Valley Quadrangle is the western margin of the Johnny Lyon granodiorite.  Gradational contacts with adjacent equigranular biotite granite of map unit Yg and muscovite leucogranite of map unit Ygl indicate that the margin of the Paleoproterozoic Johnny Lyon granodiorite underwent melting and mixing when intruded by these two Mesoproterozoic granites. Variation in the fraction of K-feldspar megacrysts characterizes the margin of the porphyritic main phase, and K-feldspar megacrysts may locally form xenocrysts in adjacent phases.  The mixed border phases map unit includes five phases, as follows:  (1) The porphyritic to megacrystic main phase of the Johnny Lyon Granodiorite (Xgj), (2) intruding equigranular biotite granite to granodiorite (Yg), (3) intruding muscovite leucogranite (Ygl), (4) biotite granite(?) and granodiorite(?) (YXgb), and (5) a two-mica phase that appears to represent compositions intermediate between the biotite granodiorite(?) phase (YXgb) and the muscovite leucogranite phase (Ygl).",0006.0011.0003,Standard,"135;28;47",,HPV.DataSources.11,,
HPV.DescriptionOfMapUnits.22,Tcg,Tcg,Conglomerate (Oligocene to Miocene),,,"Pale gray to tan to medium brown conglomerate and sparse, poorly sorted sandstone and pebbly sandstone with generally subangular to subrounded clasts.  Conglomerate is crudely bedded to massive, locally well bedded where sandy.  Bedding is generally defined by variations in clast size, with sandy layers locally defining bedding.  Poorly sorted nature of conglomerate generally precludes identification of bedforms.  Clasts generally range from 1 to 50cm, and rarely exceed 1m.  Clast composition is highly variable and commonly reflects nearby or underlying bedrock.  Abundant subrounded clasts of speckled equigranular granite in Happy Valley are inferred to have been derived from nearby granite that forms upper plate of San Pedro detachment fault.  Mylonitic and pegmatitic leucogranite that form the footwall of the San Pedro detachment fault in the Happy Valley area are not represented in clast compositions, presumably because, at the time of conglomerate deposition, the footwall of the detachment fault in the Rincon Mountains had not been tectonically exhumed.  ",0003.0004,Standard,"203;140;079",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.23,Pe,Pe,Epitaph Formation (Permian),,,"Dark-gray, moderately thick-bedded, slightly cherty dolostone.  Includes a lower unit (commonly faulted out) of dolomitic marl and some intercalated limestone.",0005.0004,Standard,"178;196;255",,6D2D8A77-1D22-4EFD-9DC0-7338A1086A4A,,
HPV.DescriptionOfMapUnits.24,Qy3,Qy3,Latest Holocene alluvium,,,"Recently active piedmont alluvium located primarily along active drainages including floodplain, low-lying terrace, and intermittent tributary channels. Qy3 deposits are composed of unconsolidated to very weakly consolidated sandy to pebbly deposits and exhibit greater vegetation than Qyc deposits. These deposits generally exhibit bar and swale microtopography and are susceptible to inundation during moderate to extreme flow conditions when channel flow exceeds capacity. Soil development is generally absent or incipient on Qy3 deposits which exhibit pale buff to light brown (10 YR) surface coloration.",0002.0002,Standard,"255;255;075",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.25,P*e,P*e,Earp Formation (Permian to Pennsylvanian),,,"Medium gray limestone, 1-4 m thick resistant beds, separated by 1-10 m wide zones of calcareous siltstone, pale red to yellowish tan, slope forming and commonly covered by rubble.  Limestone is generally medium to thick bedded, dark to medium gray, locally with irregular silica stringers and masses. The Earp Formation grades upward from thick limestone beds and thick siltstone units to thin limestone beds and thick siltstone units.  Most of the upper Earp is very fine grained, medium red, quartzose sandstone, reddish to pale gray calcareous siltstone, and medium to thick bedded carbonate.  Upper Earp sands include 1-3 cm thick climbing ripple cross beds and 3-12 cm thick sets of low-angle cross beds.",0005.0006,Standard,"158;217;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.26,Pcn,Pcn,Concha Limestone (Permian),,,"Massive, medium gray carbonate, with abundant cherty to siliceous blobs and irregular stringers that generally do not define bedding.  Locally includes striated shells ~3 cm across.  ",0005.0002,Standard,"102;135;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.27,Qi1,Qi1,Early to middle Pleistocene alluvial fan and terrace deposits,,,"Qi1 deposits are characterized by high-standing, moderately to well-rounded alluvial deposits exhibiting strong (stage II-III) calcium carbonate accumulation and, where preserved, dark reddish (5-2.5 YR 4/6) soils. Like Qi2 deposits, Qi1 deposits may cap underlying basin fill deposits. Where widespread (greater than 30 meters across), Qi1 deposits retain a remnant, indurated planar cap with moderately to well rounded edges. Narrow (less than 30 meters across) Qi1 terraces and caps are generally well-rounded and do not exhibit a planar remnant. Qi1 terraces are commonly mantled by coarse pebbles to boulders and exhibit vegetation consisting of medium to large mesquite, acacia, saguaro, prickly pear, cholla, barrel cactus, and grasses.",0002.0008,Standard,"255;235;180",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.28,*hMe,*hMe,"Horquilla Limestone (Pennsylvanian) and Escabrosa Limestone (Mississippian), undivided",,,"Medium to thick bedded to massive, medium gray to locally dark gray limestone, commonly with chert and siliceous stringers.  Bedding is generally defined by variable resistance to weathering and sparse stringers of silica.  Limestone is recrystallized; some pale gray limestone consists of 1-3 mm calcite crystals.  Elsewhere recrystallization is cryptic and carbonate is inferred to be less pure.  Locally includes terra rosa breccia zones that are not clearly laterally continuous.  Locally this unit includes laminated to thin bedded silty limestone to siltstone.",0005.0008,Standard,"000;255;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.30,Tgl,Tgl,Heterogeneous pegmatitic leucogranite (Eocene),,,"Heterogeneous pegmatitic leucogranite with locally abundant screens of host biotite granite forming layered gneiss.  Leucogranite commonly contains muscovite and, locally, garnet.  Eocene age is based on correlation to lithologically similar Eocene leucogranites in the Santa Catalina Mountains.",0006.0003,Standard,"254;143;000",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.31,Qy1,Qy1,Older Holocene alluvium,,,"Qy1 deposits consist of broad, low-relief, undulating fan deposits, exhibit shallow widespread braided drainage patterns, and sit higher in the landscape than younger Holocene alluvium. Portions of these deposits are mantled by coarse to very coarse angular quartz sand and exhibit diverse vegetation patterns dominated by cholla, prickly pear, small (1-1.5 m tall) mesquite, and numerous small shrubs and grasses. Overall relief between broad fan crests and incised drainages on gently rolling Qy1 deposits typically does not exceed 1.5 meters. Numerous shallow braided channels drain widespread portions of Qy1 surfaces. Qy1 deposits exhibit incipient calcium carbonate accumulation (stage I) and soil development characterized by medium brown (10-7.5 YR) coloration where unincised.",0002.0005,Standard,"255;255;150",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.32,*hMet,*hMet,"Marble tectonite derived from Horquilla Limestone and Escabrosa Limestone, undivided (Pennsylvanian to Mississippian protolith)  ",,,"Calcite marble, slightly siliceous calcite marble, and zones up to tens of centimeters thick of calcite marble containing silt or very fine sand.  Colors are variable and include whitish tan, pale gray, grayish white, and pale red.  Thin transposed siliceous layers are sparse to moderately abundant and are typically light orange-pink.  Rarely, siliceous units are up to 5 m thick and are characterized by resistant layers of very-fine-grained quartzite or metasiltstone hornfels and recessive layers of marble tectonite.",0008.0003,Standard,"153;224;254",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.33,_a,_a,Abrigo Formation (Cambrian),,,"Tan to light brown to gray limestone and dolostone, thinly interbedded with fine-grained, light brown, shaley, commonly calcareous quartz sandstone and yellow to olive-green shale containing flakes of white mica.  Glauconitic siltstone and sandstone are present in some intervals, notably near the base of the formation.  Cross-bedding and cross-lamination are locally common.  Some carbonate and calcareous sandstone units are medium-bedded.  Intraclast conglomerate beds up to 15 cm thick, containing flat pebbles of laminated quartzose sandstone in limestone matrix, are conspicuous in some intervals, especially in the middle of the section.

The base of the Abrigo Formation is placed at the first upward appearance of calcareous strata.  South of Eagle Peak this transition is marked by a ~1m thick, medium red, fine-grained calcareous sandstone.  North of Eagle Peak, the lower Abrigo includes beds of dark-purple-weathered, hematite-stained, glauconitic siltstone.  The contact with overlying Martin Formation is an unconformity that is commonly cryptic, occurring in an apparent transition upward from dominantly sandstone and calcareous sandstone to dominantly sandy and silty carbonate.  North and south of Eagle Peak, the top of the Abrigo Formation is marked by a 1-2 m thick bed of medium-grained quartz sandstone with cross-bedding accentuated by recessive laminations.  Where stratigraphic context is uncertain, Abrigo Formation can be distinguished from sandstone of the Bisbee Group by the relative lack of magnetite and very high quartz content in the Abrigo Formation.",0005.0011,Standard,"140;077;209",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.34,Qi3,Qi3,Late Pleistocene alluvial fan and terrace deposits,,,"Qi3 deposits are characterized as widespread planar reddish fan terraces mantled by angular to sub-angular pebbles to cobbles. These deposits exhibit moderate calcium carbonate accumulation (stage I-II) and soil development with reddish shallow subsurface coloration (7.5 4/4). This color varies with position in the piedmont due to differences in parent material. Qi3 deposits exhibit medium (1-2 m tall) mesquite, cholla, prickly pear, creosote, acacia, and numerous small grasses and shrubs. Qi3 deposits stand up to 3 meters higher in the landscape than adjacent Qy1 and Qyc deposits depending on local incision and position within the piedmont.",0002.0006,Standard,"255;235;120",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.35,Xgjm,Xgjm,"Mylonitic Johnny Lyon granodiorite (Paleoproterozoic protolith, Laramide mylonitization)",Mylonitic Johnny Lyon granodiorite,Paleoproterozoic,Mylonitic granodiorite above the Wildhorse Mountain thrust fault.  Asymmetric petrofabrics (S-C shear-sense indicators) indicate top-northeast shearing during mylonitization.,0006.0011.0002,Standard,"178;23;102",,HPV.DataSources.11,,
HPV.DescriptionOfMapUnits.36,Tcy,Tcy,Fanglomerate (Pliocene),,,"Poorly lithified, poorly lithified, weakly stratified conglomerate, pale gray to pale tan. Most clasts are subangular, <50cm diameter (locally to 5 m), and consist of variably foliated granitoids that are mostly pegmatitic and leucocratic with sparse to abundant clasts of Paleozoic and Mesozoic sedimentary units and other granitoids.  This conglomerate unit, unlike map unit Tcg, was deposited following exhumation of the footwall of the San Pedro detachment fault, and could have been deposited in a topographic and geologic setting much like the modern setting.  Upward coarsening into overlying megablock map unit Tcgm is inferred to reflect deposition during movement on the Martinez Ranch fault.",0003.0002,Standard,"227;191;150",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.37,Tsmm,Tsmm,"Conglomerate, San Manuel Formation, metamorphiclastic Paige Canyon facies (upper Miocene to Pliocene)",,,"Weakly to moderately consolidated, moderately to poorly sorted, allvial-fan deposits,  Clasts are derived primarily from metamorphic tectonites like those that form nearby bedrock in the Little Rincon Mountains (Dickinson, 1991).",0003.0003,Standard,"239;195;089",,2CBFD7DF-852A-458B-AEE6-3CCFF1A4EBC8,,
HPV.DescriptionOfMapUnits.38,Me,Me,Escabrosa Limestone (Mississippian),,,"Thick-bedded to massive, light- to medium-gray, variably cherty carbonate with local dissolution breccia.  The unit is predominantly limestone, although brown-gray to tan dolostone is abundant in the lower part and near the top of the formation, and patchy dolomitization is common locally.  Large chert lenses and layers are characteristic, as is the thick-bedded (rarely medium-bedded), cliff-forming nature of outcrops.  Remains of rugose corals are present locally.",0005.0009,Standard,"191;234;249",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.39,Yd,Yd,Sierra Ancha Diabase (Mesoproterozoic),,,"Very dark gray to dark greenish gray to black, fine grained diabase, generally with 0.5-3 mm long acicular plagioclase in a dark groundmass in which pyroxene has been altered to iron oxides. ",0006.0007,Standard,"186;000;171",,2CBFD7DF-852A-458B-AEE6-3CCFF1A4EBC8,,
HPV.DescriptionOfMapUnits.40,Qi2,Qi2,Middle to late Pleistocene alluvial fan and terrace deposits,,,"Qi2 surfaces consist of broad planar fan terraces capping Quiburis basin fill deposits, inset into older, more well-rounded alluvial deposits, or lining significant piedmont drainages. These deposits generally exhibit reddish (7.5-5 YR 5/4) soils and moderate calcium carbonate accumulation (stage I-II+). Qi2 deposits are overall planar but can exhibit mild to moderate rounding near incised channels or inset terraces. Vegetation on Qi2 surfaces consists of medium mesquite, prickly pear, cholla, barrel cactus, and numerous small shrubs and short grasses. Where incised, these deposits often exhibit a cap up to 1 meter thick of moderately calcium carbonate cemented clasts. This cap preserves underlying, less-indurated portions of the Qi2 surface as well as any deposits it may overly. Qi2 terraces deposited onto basin fill deposits may stand as much as 30 meters above active piedmont channels.",0002.0007,Standard,"255;235;150",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.41,none,none,Paleoproterozoic metamorphic units,,,,0007,Heading,"255;255;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.42,none,none,Metasedimentary tectonites (Paleozoic to Paleoproterozoic protoliths),,,,0008,Heading,"255;255;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
